,Query Size,OG Times,LUT Times,RMI Times
0,100,0.0018516000000000001,0.0012652,0.16341160000000002
1,200,0.0044948,0.0034922,0.16977420000000001
2,300,0.0063836000000000006,0.003785,0.1766146
3,400,0.0095772,0.007224800000000001,0.21472759999999996
4,500,0.0113928,0.006519800000000001,0.21448340000000005
5,600,0.0133632,0.0093906,0.2474062
6,700,0.0170192,0.012798,0.2672658
7,800,0.0180262,0.012638,0.291528
8,900,0.020672199999999998,0.0154172,0.30972239999999995
9,1000,0.021450199999999996,0.015068599999999998,0.32004099999999996
10,10000,0.23157619999999998,0.157597,2.2111494
