,Query Size,OG Times,LUT Times,RMI Times
0,100,0.0021496,0.0020658,0.1566452
1,200,0.0039046,0.003023,0.1621052
2,300,0.0061378,0.004611,0.1778448
3,400,0.0080706,0.0057002,0.2078916
4,500,0.010600799999999999,0.0075856,0.23248600000000003
5,600,0.011921000000000001,0.007559399999999999,0.21930200000000002
6,700,0.015247199999999999,0.010019199999999999,0.26199399999999995
7,800,0.016205400000000002,0.0117838,0.2958764
8,900,0.0186774,0.013264799999999998,0.3002626
9,1000,0.019796,0.0136896,0.3364746
10,10000,0.2074646,0.14872799999999997,2.2392332
