,Query Size,OG Times,LUT Times,RMI Times
0,10,0.0035278,0.002221,0.1392882
1,100,0.0035912,0.0032262,0.1457416
2,200,0.0037042,0.0024356,0.1460022
3,300,0.0041598,0.0032664,0.1466154
4,400,0.0042912,0.0025866,0.1550462
5,500,0.0038138,0.0023232,0.1505896
6,600,0.0044748,0.00309,0.1569122
7,700,0.0036786,0.0024684,0.1472636
8,800,0.0037546,0.001873,0.1529296
9,900,0.0042762,0.0025198,0.1640108
10,1000,0.0039584,0.0033722,0.1461976
11,10000,0.0037476,0.002567,0.1478364
