,Query Size,OG Times,LUT Times,RMI Times
0,10,7.26E-05,6.30E-05,0.1184724
1,100,0.0019254,0.0054226,0.1351396
2,200,0.0040152,0.0066062,0.1513766
3,300,0.0062746,0.0134176,0.1828646
4,400,0.0088122,0.0169502,0.1975356
5,500,0.0102174,0.0164514,0.1928958
6,600,0.012161,0.0186254,0.2053602
7,700,0.015164,0.0245018,0.2261212
8,800,0.0184246,0.0334386,0.2813042
9,900,0.0188836,0.0292976,0.2501404
10,1000,0.0209604,0.0340732,0.2593246
11,10000,0.2150388,0.3563128,1.654009
