,Query Size,OG Times,LUT Times,RMI Times
0,10,5.84E-05,3.66E-05,0.1214964
1,100,0.0018564,0.0019498,0.1259272
2,200,0.0038818,0.004,0.1458532
3,300,0.0059874,0.0063786,0.157501
4,400,0.0078618,0.0077958,0.160425
5,500,0.0101816,0.0105404,0.1847824
6,600,0.0121746,0.0126092,0.2062364
7,700,0.0150924,0.0159594,0.2106944
8,800,0.0175962,0.0184798,0.2370152
9,900,0.0191448,0.020045,0.2466508
10,1000,0.0240086,0.02413,0.3037162
11,10000,0.2208702,0.2390264,1.848571
