,Query Size,OG Times,LUT Times,RMI Times
0,10,7.38e-05,1.66e-05,0.12331679999999998
1,100,0.0015436,0.0009284,0.1258038
2,200,0.0036753999999999997,0.0021148,0.1456086
3,300,0.0059996,0.0044101999999999995,0.18000359999999999
4,400,0.008243799999999999,0.0053994,0.1920668
5,500,0.0104796,0.007755400000000001,0.2002314
6,600,0.0126142,0.008165,0.2115012
7,700,0.014915199999999998,0.010578,0.27253920000000004
8,800,0.0167336,0.011022599999999999,0.28145699999999996
9,900,0.0186652,0.012146599999999999,0.2772524
10,1000,0.022000799999999997,0.013441,0.3091191999999999
11,10000,0.20751,0.1343828,1.7766226
