,Query Size,OG Times,LUT Times,RMI Times
0,100,0.0018239999999999999,0.0014494,0.1418636
1,200,0.0040538,0.002768,0.1740736
2,300,0.006526800000000001,0.004613000000000001,0.1817866
3,400,0.0079316,0.0049262,0.1900258
4,500,0.011390800000000001,0.0095322,0.25887340000000003
5,600,0.013620799999999999,0.010728,0.2663418
6,700,0.0161494,0.010945199999999999,0.26025100000000007
7,800,0.0189486,0.013369200000000001,0.3272434
8,900,0.030355399999999998,0.018770000000000002,0.49238480000000007
9,1000,0.03839,0.0240056,0.6248779999999999
10,10000,0.4327838,0.2203234,2.9785862
