,Query Size,OG Times,LUT Times,RMI Times
0,10,0.00010479999999999999,6.82e-05,0.11877900000000001
1,100,0.0019018,0.0019327999999999997,0.12551759999999998
2,200,0.0036046000000000003,0.0032855999999999996,0.13919959999999998
3,300,0.0055676,0.0046738000000000005,0.14887440000000002
4,400,0.008691399999999998,0.0074992,0.18730639999999998
5,500,0.0097514,0.008355399999999999,0.1747428
6,600,0.013072400000000001,0.0101342,0.2343058
7,700,0.0144682,0.011107800000000001,0.21567379999999997
8,800,0.016047199999999998,0.014337199999999998,0.22916179999999997
9,900,0.0186948,0.0165226,0.265879
10,1000,0.021556799999999997,0.017651999999999998,0.2745196
11,10000,0.2111294,0.17549300000000004,1.6940278
