,Query Size,OG Times,LUT Times,RMI Times
0,10,6.840000000000001e-05,2.7e-05,0.1163176
1,100,0.0018822,0.0014735999999999998,0.1416732
2,200,0.004035800000000001,0.0028016,0.1488396
3,300,0.0058134,0.0041514,0.166037
4,400,0.007781399999999999,0.0059692,0.1668858
5,500,0.0109928,0.007375999999999999,0.20088040000000001
6,600,0.012216999999999999,0.0076154,0.228617
7,700,0.0162,0.0111236,0.24945500000000004
8,800,0.0173958,0.012762399999999998,0.23552500000000004
9,900,0.019497000000000004,0.013719,0.2680694
10,1000,0.020840199999999996,0.013693,0.2694168
11,10000,0.2141728,0.14220280000000002,1.7829228000000001
